id,status,name,dob,sex,address,team
,1,"Tassia, Jono G",18/10/1994,male,"14907 SE Newport Way, Bellevue, WA 98006, USA",10000
,1,"Rose, Kate Linda",18/10/1994,female,"800 Occidental Ave S, Seattle, WA 98134, USA",10000
,1,"Tassia, Michael G",18/10/1994,male,14300 GREENWOOD AVE SEATTLE WA 98133-6868 USA,10000
,1,"Tassia, Ghassan",18/10/1994,male,7500 8TH AVE SEATTLE WA 98106-2087 USA,10000
,1,"Tassia, Tresa",18/10/1994,male,2033 2ND AVE SEATTLE WA 98121-2243 USA,10000
,1,"Huskey, Monkey Flying",18/10/1994,male,2101 4TH AVE SEATTLE WA 98121-2373 USA,10000
,1,"Flufferson, Wald",18/10/1994,male,115 PREFONTAINE PL SEATTLE WA 98104-4600 USA,10000
,1,"Test, Route 1",18/10/1994,male,632 13TH AVE SEATTLE WA 98102-5136 USA,10000
,1,"Test, Route 2",18/10/1995,male,127 22ND AVE SEATTLE WA 98122-6080 USA,10000
,1,"Test, Route 3",18/10/1996,male,751 N 135TH ST SEATTLE WA 98133-7466 USA,10000
,1,"Test, Route 4",18/10/1997,male,4700 31ST AVE SEATTLE WA 98108-2258 USA,10000
,1,"Test, Route 5",18/10/1998,male,3056 60TH AVE SEATTLE WA 98116-5807 USA,10000
,1,"Test, Route 6",18/10/1999,male,632 13TH AVE SEATTLE WA 98102-5136 USA,10000
